complaint_id,timestamp,fraud_type,amount_lost,mule_account_id
CMP_00071,2026-08-16 03:33:15,Loan App Extortion,15000,MULE_ACC_6374
CMP_00072,2026-07-23 16:29:15,UPI Phishing,15000,MULE_ACC_3290
CMP_00073,2026-07-10 03:59:15,Part-time Job Scam,200000,MULE_ACC_3222
CMP_00074,2026-08-10 19:49:15,UPI Phishing,25000,MULE_ACC_7797
CMP_00075,2026-08-17 07:16:15,Investment Scam,100000,MULE_ACC_8285
CMP_00076,2026-08-07 16:25:15,Credit Card Fraud,15000,MULE_ACC_7523
CMP_00077,2026-08-15 02:44:15,UPI Phishing,500000,MULE_ACC_1349
CMP_00078,2026-07-16 22:56:15,Loan App Extortion,200000,MULE_ACC_4394
CMP_00079,2026-08-22 00:53:15,Credit Card Fraud,200000,MULE_ACC_1046
CMP_00080,2026-08-24 01:10:15,Investment Scam,500000,MULE_ACC_1422
CMP_00081,2026-07-23 20:14:15,Investment Scam,50000,MULE_ACC_1858
CMP_00082,2026-08-01 07:35:15,Part-time Job Scam,200000,MULE_ACC_2786
CMP_00083,2026-08-19 17:36:15,UPI Phishing,50000,MULE_ACC_8504
CMP_00084,2026-08-15 23:34:15,UPI Phishing,500000,MULE_ACC_8267
CMP_00085,2026-07-12 04:42:15,Credit Card Fraud,500000,MULE_ACC_9984
CMP_00086,2026-08-02 12:41:15,UPI Phishing,100000,MULE_ACC_2624
CMP_00087,2026-08-01 03:29:15,Part-time Job Scam,50000,MULE_ACC_8430
CMP_00088,2026-07-24 17:19:15,Part-time Job Scam,50000,MULE_ACC_3500
CMP_00089,2026-07-30 23:50:15,Investment Scam,500000,MULE_ACC_7105
CMP_00090,2026-07-25 17:10:15,Part-time Job Scam,100000,MULE_ACC_6793
CMP_00091,2026-07-10 14:35:15,Part-time Job Scam,25000,MULE_ACC_3535
CMP_00092,2026-07-26 23:51:15,Part-time Job Scam,50000,MULE_ACC_4705
CMP_00093,2026-08-11 17:56:15,UPI Phishing,500000,MULE_ACC_5381
CMP_00094,2026-07-25 20:14:15,UPI Phishing,25000,MULE_ACC_7566
CMP_00095,2026-08-20 12:16:15,Part-time Job Scam,100000,MULE_ACC_7878
CMP_00096,2026-07-24 14:41:15,Investment Scam,15000,MULE_ACC_1861
CMP_00097,2026-07-09 04:31:15,Part-time Job Scam,500000,MULE_ACC_7947
CMP_00098,2026-08-21 12:10:15,UPI Phishing,50000,MULE_ACC_8043
CMP_00099,2026-08-15 05:05:15,Loan App Extortion,25000,MULE_ACC_7475
CMP_00100,2026-08-22 00:51:15,Credit Card Fraud,50000,MULE_ACC_5742
CMP_00101,2026-07-12 08:37:15,Loan App Extortion,500000,MULE_ACC_4770
CMP_00102,2026-07-29 19:05:15,Part-time Job Scam,100000,MULE_ACC_1307
CMP_00103,2026-08-09 08:48:15,Credit Card Fraud,500000,MULE_ACC_7843
CMP_00104,2026-08-24 15:32:15,UPI Phishing,500000,MULE_ACC_6928
CMP_00105,2026-08-10 08:36:15,Credit Card Fraud,15000,MULE_ACC_7484
CMP_00106,2026-08-05 16:10:15,Investment Scam,200000,MULE_ACC_9355
CMP_00107,2026-07-18 23:12:15,Investment Scam,50000,MULE_ACC_4232
CMP_00108,2026-07-15 16:34:15,Loan App Extortion,100000,MULE_ACC_8354
CMP_00109,2026-07-13 10:07:15,Credit Card Fraud,100000,MULE_ACC_8245
CMP_00110,2026-07-08 05:32:15,UPI Phishing,100000,MULE_ACC_1616
CMP_00111,2026-08-27 22:42:15,Part-time Job Scam,200000,MULE_ACC_9307
CMP_00112,2026-08-31 14:44:15,Loan App Extortion,25000,MULE_ACC_6267
CMP_00113,2026-07-10 06:48:15,Investment Scam,15000,MULE_ACC_9266
CMP_00114,2026-08-06 12:42:15,Credit Card Fraud,25000,MULE_ACC_6962
CMP_00115,2026-08-10 21:53:15,UPI Phishing,500000,MULE_ACC_6482
CMP_00116,2026-07-22 04:49:15,Credit Card Fraud,500000,MULE_ACC_3463
CMP_00117,2026-07-23 16:47:15,Investment Scam,500000,MULE_ACC_7421
CMP_00118,2026-08-08 08:44:15,Loan App Extortion,50000,MULE_ACC_3093
CMP_00119,2026-07-26 20:26:15,Investment Scam,50000,MULE_ACC_3953
CMP_00120,2026-07-18 00:12:15,UPI Phishing,15000,MULE_ACC_5846
CMP_00121,2026-08-15 06:59:15,Loan App Extortion,200000,MULE_ACC_3147
CMP_00122,2026-08-22 15:54:15,UPI Phishing,25000,MULE_ACC_8170
CMP_00123,2026-08-12 05:51:15,Investment Scam,500000,MULE_ACC_8355
CMP_00124,2026-07-27 17:39:15,Credit Card Fraud,100000,MULE_ACC_8564
CMP_00125,2026-08-25 02:54:15,Credit Card Fraud,200000,MULE_ACC_3267
CMP_00126,2026-08-31 23:48:15,Credit Card Fraud,200000,MULE_ACC_3042
CMP_00127,2026-08-30 12:12:15,Investment Scam,100000,MULE_ACC_2502
CMP_00128,2026-07-07 08:35:15,Part-time Job Scam,50000,MULE_ACC_4862
CMP_00129,2026-08-31 23:56:15,Investment Scam,500000,MULE_ACC_6493
CMP_00130,2026-08-26 00:51:15,Part-time Job Scam,500000,MULE_ACC_8685
CMP_00131,2026-07-20 02:56:15,Loan App Extortion,25000,MULE_ACC_9991
CMP_00132,2026-07-22 23:06:15,Loan App Extortion,25000,MULE_ACC_7878
CMP_00133,2026-08-06 20:43:15,Investment Scam,200000,MULE_ACC_4963
CMP_00134,2026-07-19 14:29:15,Loan App Extortion,25000,MULE_ACC_2402
CMP_00135,2026-08-05 12:38:15,Part-time Job Scam,15000,MULE_ACC_7397
CMP_00136,2026-08-19 20:25:15,Investment Scam,15000,MULE_ACC_6649
CMP_00137,2026-08-21 06:11:15,Loan App Extortion,15000,MULE_ACC_6772
CMP_00138,2026-08-02 18:33:15,Investment Scam,500000,MULE_ACC_3986
CMP_00139,2026-07-22 02:05:15,Credit Card Fraud,25000,MULE_ACC_1686
CMP_00140,2026-07-19 21:51:15,Credit Card Fraud,500000,MULE_ACC_4131
CMP_00141,2026-07-25 04:10:15,Part-time Job Scam,50000,MULE_ACC_8159
CMP_00142,2026-07-15 11:47:15,Loan App Extortion,100000,MULE_ACC_7018
CMP_00143,2026-07-31 15:55:15,Credit Card Fraud,25000,MULE_ACC_9937
CMP_00144,2026-07-22 05:31:15,Investment Scam,200000,MULE_ACC_7981
CMP_00145,2026-08-28 07:42:15,UPI Phishing,100000,MULE_ACC_5498
CMP_00146,2026-08-05 19:46:15,Investment Scam,25000,MULE_ACC_1510
CMP_00147,2026-07-11 22:18:15,Credit Card Fraud,500000,MULE_ACC_7001
CMP_00148,2026-07-13 17:31:15,Part-time Job Scam,50000,MULE_ACC_7095
CMP_00149,2026-07-29 06:44:15,UPI Phishing,50000,MULE_ACC_5089
CMP_00150,2026-07-28 13:10:15,Part-time Job Scam,50000,MULE_ACC_5264
CMP_00151,2026-08-31 11:15:15,UPI Phishing,15000,MULE_ACC_3223
CMP_00152,2026-08-24 17:57:15,UPI Phishing,50000,MULE_ACC_6692
CMP_00153,2026-08-18 19:02:15,Credit Card Fraud,500000,MULE_ACC_3852
CMP_00154,2026-07-19 11:04:15,Part-time Job Scam,50000,MULE_ACC_7044
CMP_00155,2026-07-23 08:48:15,Loan App Extortion,500000,MULE_ACC_8842
CMP_00156,2026-07-12 06:44:15,Part-time Job Scam,15000,MULE_ACC_8372
CMP_00157,2026-08-10 01:52:15,Loan App Extortion,25000,MULE_ACC_8088
CMP_00158,2026-07-23 01:13:15,Credit Card Fraud,50000,MULE_ACC_4694
CMP_00159,2026-07-16 16:38:15,Credit Card Fraud,50000,MULE_ACC_3050
CMP_00160,2026-07-14 14:40:15,Loan App Extortion,25000,MULE_ACC_3804
CMP_00161,2026-08-24 20:08:15,Investment Scam,15000,MULE_ACC_5336
CMP_00162,2026-08-04 16:37:15,Part-time Job Scam,50000,MULE_ACC_5949
CMP_00163,2026-08-01 22:47:15,Part-time Job Scam,15000,MULE_ACC_3589
CMP_00164,2026-08-11 00:23:15,Credit Card Fraud,500000,MULE_ACC_6231
CMP_00165,2026-08-07 23:23:15,UPI Phishing,25000,MULE_ACC_8642
CMP_00166,2026-07-07 05:27:15,Investment Scam,200000,MULE_ACC_7850
CMP_00167,2026-07-24 02:51:15,Loan App Extortion,25000,MULE_ACC_9163
CMP_00168,2026-07-04 22:28:15,Investment Scam,200000,MULE_ACC_8491
CMP_00169,2026-07-22 11:41:15,Credit Card Fraud,500000,MULE_ACC_8710
CMP_00170,2026-07-12 04:49:15,Credit Card Fraud,50000,MULE_ACC_7606
CMP_00171,2026-07-16 07:38:15,Part-time Job Scam,50000,MULE_ACC_2204
CMP_00172,2026-08-25 15:46:15,Investment Scam,200000,MULE_ACC_2946
CMP_00173,2026-07-27 00:15:15,Part-time Job Scam,200000,MULE_ACC_9341
CMP_00174,2026-08-18 06:54:15,Part-time Job Scam,100000,MULE_ACC_9508
CMP_00175,2026-07-24 15:23:15,Loan App Extortion,25000,MULE_ACC_7438
CMP_00176,2026-08-07 11:48:15,Part-time Job Scam,200000,MULE_ACC_5911
CMP_00177,2026-07-30 14:22:15,Loan App Extortion,500000,MULE_ACC_1436
CMP_00178,2026-08-09 03:49:15,Investment Scam,15000,MULE_ACC_8871
CMP_00179,2026-08-25 17:18:15,Investment Scam,15000,MULE_ACC_2800
CMP_00180,2026-07-30 18:16:15,Loan App Extortion,100000,MULE_ACC_9221
CMP_00181,2026-07-12 12:16:15,Part-time Job Scam,200000,MULE_ACC_6325
CMP_00182,2026-08-31 13:24:15,Credit Card Fraud,200000,MULE_ACC_6804
CMP_00183,2026-08-08 05:17:15,Investment Scam,50000,MULE_ACC_5735
CMP_00184,2026-09-01 19:20:15,Loan App Extortion,50000,MULE_ACC_2996
CMP_00185,2026-08-22 00:21:15,UPI Phishing,15000,MULE_ACC_5712
CMP_00186,2026-08-03 02:15:15,Loan App Extortion,200000,MULE_ACC_5442
CMP_00187,2026-08-10 03:18:15,Investment Scam,15000,MULE_ACC_9700
CMP_00188,2026-08-18 11:09:15,UPI Phishing,500000,MULE_ACC_3252
CMP_00189,2026-08-14 11:33:15,Credit Card Fraud,500000,MULE_ACC_4267
CMP_00190,2026-08-14 14:17:15,Investment Scam,200000,MULE_ACC_1611
CMP_00191,2026-08-26 08:53:15,Credit Card Fraud,100000,MULE_ACC_4052
CMP_00192,2026-07-10 06:21:15,Loan App Extortion,100000,MULE_ACC_9901
CMP_00193,2026-08-02 04:15:15,Investment Scam,15000,MULE_ACC_6417
CMP_00194,2026-08-20 06:53:15,Investment Scam,50000,MULE_ACC_4164
CMP_00195,2026-08-05 06:08:15,Investment Scam,100000,MULE_ACC_2562
CMP_00196,2026-07-20 08:18:15,Credit Card Fraud,100000,MULE_ACC_5374
CMP_00197,2026-07-20 16:26:15,UPI Phishing,500000,MULE_ACC_4871
CMP_00198,2026-08-16 13:02:15,UPI Phishing,500000,MULE_ACC_6095
CMP_00199,2026-07-12 11:12:15,Part-time Job Scam,100000,MULE_ACC_7121
CMP_00200,2026-08-25 02:51:15,Loan App Extortion,25000,MULE_ACC_2341
CMP_00201,2026-08-31 14:10:15,Loan App Extortion,15000,MULE_ACC_9972
CMP_00202,2026-07-24 12:31:15,Loan App Extortion,15000,MULE_ACC_4365
CMP_00203,2026-08-23 21:32:15,Part-time Job Scam,25000,MULE_ACC_9409
CMP_00204,2026-08-16 05:49:15,Credit Card Fraud,15000,MULE_ACC_7487
CMP_00205,2026-07-06 09:25:15,Loan App Extortion,500000,MULE_ACC_2044
CMP_00206,2026-07-06 05:29:15,Part-time Job Scam,25000,MULE_ACC_3218
CMP_00207,2026-08-28 08:27:15,Investment Scam,15000,MULE_ACC_9835
CMP_00208,2026-08-06 00:49:15,UPI Phishing,25000,MULE_ACC_1056
CMP_00209,2026-08-07 08:55:15,Part-time Job Scam,25000,MULE_ACC_5055
CMP_00210,2026-08-20 23:05:15,Loan App Extortion,500000,MULE_ACC_7868
CMP_00211,2026-08-10 21:31:15,Investment Scam,200000,MULE_ACC_1797
CMP_00212,2026-07-16 21:11:15,Investment Scam,200000,MULE_ACC_5739
CMP_00213,2026-08-25 06:18:15,Loan App Extortion,50000,MULE_ACC_3347
CMP_00214,2026-08-08 14:59:15,Part-time Job Scam,500000,MULE_ACC_3869
CMP_00215,2026-08-15 08:53:15,Part-time Job Scam,200000,MULE_ACC_6222
CMP_00216,2026-08-21 13:33:15,Credit Card Fraud,25000,MULE_ACC_4692
CMP_00217,2026-07-30 09:38:15,Part-time Job Scam,200000,MULE_ACC_3196
CMP_00218,2026-07-09 10:57:15,Loan App Extortion,50000,MULE_ACC_2514
CMP_00219,2026-08-11 15:05:15,Loan App Extortion,15000,MULE_ACC_4082
CMP_00220,2026-07-22 20:16:15,Part-time Job Scam,25000,MULE_ACC_2922
CMP_00221,2026-08-31 03:38:15,Part-time Job Scam,50000,MULE_ACC_5637
CMP_00222,2026-07-20 07:35:15,UPI Phishing,100000,MULE_ACC_8635
CMP_00223,2026-07-27 06:29:15,Investment Scam,15000,MULE_ACC_4625
CMP_00224,2026-08-19 09:21:15,Credit Card Fraud,25000,MULE_ACC_4214
CMP_00225,2026-08-08 16:46:15,Part-time Job Scam,50000,MULE_ACC_5216
CMP_00226,2026-07-12 19:37:15,Loan App Extortion,100000,MULE_ACC_4015
CMP_00227,2026-07-06 20:29:15,UPI Phishing,25000,MULE_ACC_4791
CMP_00228,2026-07-26 21:42:15,Part-time Job Scam,500000,MULE_ACC_8916
CMP_00229,2026-07-03 20:36:15,Loan App Extortion,500000,MULE_ACC_5501
CMP_00230,2026-08-24 01:09:15,Investment Scam,15000,MULE_ACC_9591
CMP_00231,2026-08-25 07:20:15,Credit Card Fraud,100000,MULE_ACC_2294
CMP_00232,2026-07-18 05:46:15,UPI Phishing,15000,MULE_ACC_1519
CMP_00233,2026-07-07 16:03:15,UPI Phishing,500000,MULE_ACC_3807
CMP_00234,2026-08-27 00:00:15,Investment Scam,200000,MULE_ACC_1697
CMP_00235,2026-07-20 22:02:15,Loan App Extortion,15000,MULE_ACC_5593
CMP_00236,2026-07-05 02:40:15,UPI Phishing,25000,MULE_ACC_7525
CMP_00237,2026-08-26 08:46:15,Part-time Job Scam,200000,MULE_ACC_6435
CMP_00238,2026-08-20 07:06:15,Investment Scam,15000,MULE_ACC_8161
CMP_00239,2026-07-29 06:04:15,Part-time Job Scam,500000,MULE_ACC_5478
CMP_00240,2026-07-31 01:46:15,UPI Phishing,200000,MULE_ACC_7227
CMP_00241,2026-07-07 22:20:15,Investment Scam,25000,MULE_ACC_7225
CMP_00242,2026-07-04 05:31:15,UPI Phishing,50000,MULE_ACC_5419
CMP_00243,2026-08-08 13:35:15,UPI Phishing,100000,MULE_ACC_2692
CMP_00244,2026-08-11 06:58:15,Credit Card Fraud,100000,MULE_ACC_1202
CMP_00245,2026-08-30 14:00:15,Investment Scam,25000,MULE_ACC_9537
CMP_00246,2026-07-21 11:12:15,Part-time Job Scam,15000,MULE_ACC_3739
CMP_00247,2026-07-27 04:18:15,Loan App Extortion,500000,MULE_ACC_9123
CMP_00248,2026-07-22 20:28:15,Credit Card Fraud,50000,MULE_ACC_7224
CMP_00249,2026-07-12 05:23:15,Part-time Job Scam,200000,MULE_ACC_4290
CMP_00250,2026-07-22 19:47:15,Loan App Extortion,500000,MULE_ACC_9044
CMP_00251,2026-07-27 00:02:15,Loan App Extortion,200000,MULE_ACC_4273
CMP_00252,2026-08-19 10:48:15,Credit Card Fraud,25000,MULE_ACC_8183
CMP_00253,2026-08-04 00:43:15,Credit Card Fraud,50000,MULE_ACC_4965
CMP_00254,2026-08-01 15:33:15,Loan App Extortion,200000,MULE_ACC_7566
CMP_00255,2026-07-06 07:47:15,UPI Phishing,200000,MULE_ACC_2392
CMP_00256,2026-08-14 15:05:15,Credit Card Fraud,200000,MULE_ACC_7547
CMP_00257,2026-07-18 12:50:15,Part-time Job Scam,200000,MULE_ACC_4621
CMP_00258,2026-08-17 12:12:15,Part-time Job Scam,50000,MULE_ACC_1402
CMP_00259,2026-08-26 19:12:15,Credit Card Fraud,50000,MULE_ACC_6110
CMP_00260,2026-07-26 11:09:15,Credit Card Fraud,100000,MULE_ACC_8412
CMP_00261,2026-08-27 06:44:15,Investment Scam,15000,MULE_ACC_3692
CMP_00262,2026-08-08 09:32:15,Investment Scam,25000,MULE_ACC_7636
CMP_00263,2026-07-05 19:42:15,Loan App Extortion,25000,MULE_ACC_8365
CMP_00264,2026-07-21 18:54:15,Loan App Extortion,15000,MULE_ACC_2667
CMP_00265,2026-07-11 04:45:15,Credit Card Fraud,100000,MULE_ACC_9646
CMP_00266,2026-07-11 07:25:15,Credit Card Fraud,100000,MULE_ACC_3826
CMP_00267,2026-07-23 23:18:15,Investment Scam,50000,MULE_ACC_2916
CMP_00268,2026-07-30 15:11:15,Part-time Job Scam,200000,MULE_ACC_7286
CMP_00269,2026-08-31 17:02:15,Part-time Job Scam,25000,MULE_ACC_3733
CMP_00270,2026-08-11 21:58:15,Part-time Job Scam,50000,MULE_ACC_1157
CMP_00271,2026-08-05 16:34:15,Part-time Job Scam,100000,MULE_ACC_9056
CMP_00272,2026-07-05 03:21:15,Investment Scam,15000,MULE_ACC_5503
CMP_00273,2026-08-20 11:38:15,Loan App Extortion,200000,MULE_ACC_2854
CMP_00274,2026-08-06 21:51:15,Loan App Extortion,500000,MULE_ACC_8231
CMP_00275,2026-08-26 16:51:15,UPI Phishing,25000,MULE_ACC_5877
CMP_00276,2026-08-27 23:52:15,Loan App Extortion,25000,MULE_ACC_4438
CMP_00277,2026-08-12 00:53:15,UPI Phishing,25000,MULE_ACC_4390
CMP_00278,2026-08-07 01:23:15,Credit Card Fraud,500000,MULE_ACC_5794
CMP_00279,2026-08-24 23:11:15,Credit Card Fraud,100000,MULE_ACC_1971
CMP_00280,2026-07-13 18:23:15,Part-time Job Scam,25000,MULE_ACC_7434
CMP_00281,2026-07-30 08:31:15,Part-time Job Scam,15000,MULE_ACC_2525
CMP_00282,2026-08-04 06:40:15,Part-time Job Scam,15000,MULE_ACC_2526
CMP_00283,2026-07-17 09:55:15,Credit Card Fraud,25000,MULE_ACC_9105
CMP_00284,2026-08-09 00:39:15,UPI Phishing,100000,MULE_ACC_6631
CMP_00285,2026-07-11 01:31:15,Part-time Job Scam,100000,MULE_ACC_1011
CMP_00286,2026-07-23 01:58:15,Credit Card Fraud,50000,MULE_ACC_2529
CMP_00287,2026-07-13 21:28:15,Investment Scam,500000,MULE_ACC_6005
CMP_00288,2026-07-17 11:07:15,Loan App Extortion,25000,MULE_ACC_4705
CMP_00289,2026-08-28 09:47:15,UPI Phishing,25000,MULE_ACC_8826
CMP_00290,2026-07-24 07:59:15,Part-time Job Scam,50000,MULE_ACC_3246
CMP_00291,2026-08-06 14:03:15,Part-time Job Scam,200000,MULE_ACC_3688
CMP_00292,2026-08-12 17:31:15,UPI Phishing,25000,MULE_ACC_2420
CMP_00293,2026-07-31 06:53:15,Credit Card Fraud,25000,MULE_ACC_5059
CMP_00294,2026-08-19 15:21:15,Credit Card Fraud,500000,MULE_ACC_1439
CMP_00295,2026-08-20 08:21:15,Investment Scam,500000,MULE_ACC_1894
CMP_00296,2026-08-13 15:07:15,Credit Card Fraud,200000,MULE_ACC_1197
CMP_00297,2026-07-27 13:46:15,UPI Phishing,25000,MULE_ACC_8717
CMP_00298,2026-07-16 22:02:15,Loan App Extortion,15000,MULE_ACC_7520
CMP_00299,2026-07-31 18:28:15,Loan App Extortion,15000,MULE_ACC_9791
CMP_00300,2026-07-09 13:01:15,Loan App Extortion,25000,MULE_ACC_3545
CMP_00301,2026-08-16 16:07:15,Investment Scam,50000,MULE_ACC_8167
CMP_00302,2026-08-02 15:41:15,Investment Scam,15000,MULE_ACC_6067
CMP_00303,2026-07-04 01:34:15,Loan App Extortion,50000,MULE_ACC_9568
CMP_00304,2026-08-22 04:49:15,Credit Card Fraud,15000,MULE_ACC_1480
CMP_00305,2026-08-18 14:43:15,Part-time Job Scam,15000,MULE_ACC_9128
CMP_00306,2026-07-14 07:13:15,Loan App Extortion,50000,MULE_ACC_2685
CMP_00307,2026-07-05 20:18:15,Credit Card Fraud,15000,MULE_ACC_8729
CMP_00308,2026-08-08 18:50:15,Investment Scam,500000,MULE_ACC_7870
CMP_00309,2026-08-24 22:39:15,Loan App Extortion,50000,MULE_ACC_2956
CMP_00310,2026-07-28 22:59:15,Credit Card Fraud,100000,MULE_ACC_5625
CMP_00311,2026-07-27 02:21:15,Loan App Extortion,200000,MULE_ACC_5979
CMP_00312,2026-08-22 02:49:15,Investment Scam,200000,MULE_ACC_5016
CMP_00313,2026-08-07 07:43:15,Credit Card Fraud,500000,MULE_ACC_1157
CMP_00314,2026-08-19 05:09:15,Investment Scam,25000,MULE_ACC_9680
CMP_00315,2026-08-18 04:08:15,Loan App Extortion,15000,MULE_ACC_4792
CMP_00316,2026-08-19 22:40:15,Investment Scam,15000,MULE_ACC_9280
CMP_00317,2026-07-31 17:11:15,Credit Card Fraud,25000,MULE_ACC_5778
CMP_00318,2026-08-26 19:23:15,Credit Card Fraud,50000,MULE_ACC_8417
CMP_00319,2026-08-22 14:09:15,Investment Scam,25000,MULE_ACC_2731
CMP_00320,2026-08-07 07:52:15,Credit Card Fraud,25000,MULE_ACC_8404
CMP_00321,2026-07-14 17:22:15,Investment Scam,500000,MULE_ACC_1660
CMP_00322,2026-07-29 12:06:15,Credit Card Fraud,500000,MULE_ACC_5896
CMP_00323,2026-08-08 19:38:15,Part-time Job Scam,25000,MULE_ACC_2551
CMP_00324,2026-07-03 21:56:15,Investment Scam,25000,MULE_ACC_3141
CMP_00325,2026-07-09 14:40:15,UPI Phishing,50000,MULE_ACC_2228
