tx_id,complaint_id,mule_account_id,tx_timestamp,withdrawal_atm_id,amount_withdrawn,time_to_cashout_mins
TX_000044,CMP_00044,MULE_ACC_9998,2026-07-31 22:49:15,ATM_0100,20000,93
TX_000045,CMP_00045,MULE_ACC_3594,2026-07-05 19:22:15,ATM_0092,20000,161
TX_000046,CMP_00046,MULE_ACC_3522,2026-07-18 01:06:15,ATM_0046,15000,94
TX_000047,CMP_00047,MULE_ACC_8483,2026-08-26 12:30:15,ATM_0127,25000,57
TX_000048,CMP_00048,MULE_ACC_5526,2026-08-20 02:45:15,ATM_0130,15000,107
TX_000049,CMP_00049,MULE_ACC_5891,2026-08-24 23:09:15,ATM_0126,20000,168
TX_000050,CMP_00050,MULE_ACC_6446,2026-08-01 16:12:15,ATM_0071,20000,159
TX_000051,CMP_00051,MULE_ACC_4826,2026-08-17 04:10:15,ATM_0100,50000,31
TX_000052,CMP_00052,MULE_ACC_3492,2026-08-31 08:56:15,ATM_0117,40000,29
TX_000053,CMP_00053,MULE_ACC_2633,2026-08-28 02:14:15,ATM_0032,40000,136
TX_000054,CMP_00054,MULE_ACC_8692,2026-08-28 17:58:15,ATM_0102,15000,106
TX_000055,CMP_00055,MULE_ACC_9742,2026-07-09 08:38:15,ATM_0125,50000,101
TX_000056,CMP_00056,MULE_ACC_5708,2026-07-06 15:50:15,ATM_0021,25000,43
TX_000057,CMP_00057,MULE_ACC_5906,2026-08-18 00:02:15,ATM_0008,25000,31
TX_000058,CMP_00058,MULE_ACC_5000,2026-07-26 09:35:15,ATM_0037,20000,125
TX_000059,CMP_00059,MULE_ACC_4945,2026-07-15 01:31:15,ATM_0095,50000,169
TX_000060,CMP_00060,MULE_ACC_1153,2026-07-20 11:52:15,ATM_0041,20000,93
TX_000061,CMP_00061,MULE_ACC_7951,2026-08-01 09:56:15,ATM_0051,40000,136
TX_000062,CMP_00062,MULE_ACC_7248,2026-08-27 13:00:15,ATM_0066,20000,111
TX_000063,CMP_00063,MULE_ACC_1132,2026-08-26 18:00:15,ATM_0128,40000,32
TX_000064,CMP_00064,MULE_ACC_4588,2026-08-22 06:39:15,ATM_0142,50000,178
TX_000065,CMP_00065,MULE_ACC_1645,2026-08-26 02:55:15,ATM_0080,15000,132
TX_000066,CMP_00066,MULE_ACC_6352,2026-07-12 00:05:15,ATM_0110,40000,64
TX_000067,CMP_00067,MULE_ACC_3695,2026-08-06 15:24:15,ATM_0076,50000,143
TX_000068,CMP_00068,MULE_ACC_8673,2026-08-28 07:50:15,ATM_0058,15000,56
TX_000069,CMP_00069,MULE_ACC_6992,2026-08-19 19:29:15,ATM_0110,20000,121
TX_000070,CMP_00070,MULE_ACC_5295,2026-08-02 09:43:15,ATM_0096,20000,117
TX_000071,CMP_00071,MULE_ACC_6374,2026-08-16 04:49:15,ATM_0119,15000,76
TX_000072,CMP_00072,MULE_ACC_3290,2026-07-23 16:58:15,ATM_0100,15000,29
TX_000073,CMP_00073,MULE_ACC_3222,2026-07-10 06:15:15,ATM_0110,40000,136
TX_000074,CMP_00074,MULE_ACC_7797,2026-08-10 22:14:15,ATM_0072,20000,145
TX_000075,CMP_00075,MULE_ACC_8285,2026-08-17 09:08:15,ATM_0142,40000,112
TX_000076,CMP_00076,MULE_ACC_7523,2026-08-07 17:33:15,ATM_0117,15000,68
TX_000077,CMP_00077,MULE_ACC_1349,2026-08-15 04:29:15,ATM_0032,50000,105
TX_000078,CMP_00078,MULE_ACC_4394,2026-07-17 00:11:15,ATM_0060,40000,75
TX_000079,CMP_00079,MULE_ACC_1046,2026-08-22 01:50:15,ATM_0139,40000,57
TX_000080,CMP_00080,MULE_ACC_1422,2026-08-24 01:33:15,ATM_0043,50000,23
TX_000081,CMP_00081,MULE_ACC_1858,2026-07-23 22:21:15,ATM_0020,40000,127
TX_000082,CMP_00082,MULE_ACC_2786,2026-08-01 10:03:15,ATM_0127,20000,148
TX_000083,CMP_00083,MULE_ACC_8504,2026-08-19 18:11:15,ATM_0103,40000,35
TX_000084,CMP_00084,MULE_ACC_8267,2026-08-16 00:14:15,ATM_0032,20000,40
TX_000085,CMP_00085,MULE_ACC_9984,2026-07-12 06:39:15,ATM_0136,40000,117
TX_000086,CMP_00086,MULE_ACC_2624,2026-08-02 15:22:15,ATM_0056,40000,161
TX_000087,CMP_00087,MULE_ACC_8430,2026-08-01 05:35:15,ATM_0081,40000,126
TX_000088,CMP_00088,MULE_ACC_3500,2026-07-24 17:56:15,ATM_0020,20000,37
TX_000089,CMP_00089,MULE_ACC_7105,2026-07-31 02:32:15,ATM_0110,50000,162
TX_000090,CMP_00090,MULE_ACC_6793,2026-07-25 17:43:15,ATM_0080,40000,33
TX_000091,CMP_00091,MULE_ACC_3535,2026-07-10 15:52:15,ATM_0090,25000,77
TX_000092,CMP_00092,MULE_ACC_4705,2026-07-27 02:34:15,ATM_0143,20000,163
TX_000093,CMP_00093,MULE_ACC_5381,2026-08-11 19:02:15,ATM_0066,40000,66
TX_000094,CMP_00094,MULE_ACC_7566,2026-07-25 21:10:15,ATM_0008,20000,56
TX_000095,CMP_00095,MULE_ACC_7878,2026-08-20 14:03:15,ATM_0066,50000,107
TX_000096,CMP_00096,MULE_ACC_1861,2026-07-24 15:41:15,ATM_0013,15000,60
TX_000097,CMP_00097,MULE_ACC_7947,2026-07-09 07:26:15,ATM_0046,20000,175
TX_000098,CMP_00098,MULE_ACC_8043,2026-08-21 13:42:15,ATM_0125,50000,92
TX_000099,CMP_00099,MULE_ACC_7475,2026-08-15 05:39:15,ATM_0066,20000,34
TX_000100,CMP_00100,MULE_ACC_5742,2026-08-22 01:41:15,ATM_0092,20000,50
TX_000101,CMP_00101,MULE_ACC_4770,2026-07-12 11:20:15,ATM_0091,20000,163
TX_000102,CMP_00102,MULE_ACC_1307,2026-07-29 19:44:15,ATM_0148,40000,39
TX_000103,CMP_00103,MULE_ACC_7843,2026-08-09 09:37:15,ATM_0071,20000,49
TX_000104,CMP_00104,MULE_ACC_6928,2026-08-24 17:43:15,ATM_0063,40000,131
TX_000105,CMP_00105,MULE_ACC_7484,2026-08-10 10:22:15,ATM_0037,15000,106
TX_000106,CMP_00106,MULE_ACC_9355,2026-08-05 17:59:15,ATM_0137,20000,109
TX_000107,CMP_00107,MULE_ACC_4232,2026-07-19 02:06:15,ATM_0137,20000,174
TX_000108,CMP_00108,MULE_ACC_8354,2026-07-15 19:33:15,ATM_0137,40000,179
TX_000109,CMP_00109,MULE_ACC_8245,2026-07-13 11:37:15,ATM_0080,50000,90
TX_000110,CMP_00110,MULE_ACC_1616,2026-07-08 07:26:15,ATM_0020,50000,114
TX_000111,CMP_00111,MULE_ACC_9307,2026-08-28 01:00:15,ATM_0008,40000,138
TX_000112,CMP_00112,MULE_ACC_6267,2026-08-31 17:05:15,ATM_0008,25000,141
TX_000113,CMP_00113,MULE_ACC_9266,2026-07-10 07:18:15,ATM_0095,15000,30
TX_000114,CMP_00114,MULE_ACC_6962,2026-08-06 14:14:15,ATM_0071,25000,92
TX_000115,CMP_00115,MULE_ACC_6482,2026-08-10 23:37:15,ATM_0142,40000,104
TX_000116,CMP_00116,MULE_ACC_3463,2026-07-22 05:29:15,ATM_0032,40000,40
TX_000117,CMP_00117,MULE_ACC_7421,2026-07-23 19:39:15,ATM_0022,40000,172
TX_000118,CMP_00118,MULE_ACC_3093,2026-08-08 09:27:15,ATM_0109,50000,43
TX_000119,CMP_00119,MULE_ACC_3953,2026-07-26 22:13:15,ATM_0125,20000,107
TX_000120,CMP_00120,MULE_ACC_5846,2026-07-18 02:41:15,ATM_0135,15000,149
TX_000121,CMP_00121,MULE_ACC_3147,2026-08-15 08:55:15,ATM_0037,50000,116
TX_000122,CMP_00122,MULE_ACC_8170,2026-08-22 17:59:15,ATM_0043,25000,125
TX_000123,CMP_00123,MULE_ACC_8355,2026-08-12 08:27:15,ATM_0100,20000,156
TX_000124,CMP_00124,MULE_ACC_8564,2026-07-27 19:36:15,ATM_0092,20000,117
TX_000125,CMP_00125,MULE_ACC_3267,2026-08-25 03:27:15,ATM_0096,50000,33
TX_000126,CMP_00126,MULE_ACC_3042,2026-09-01 00:29:15,ATM_0070,40000,41
TX_000127,CMP_00127,MULE_ACC_2502,2026-08-30 14:27:15,ATM_0007,40000,135
TX_000128,CMP_00128,MULE_ACC_4862,2026-07-07 09:15:15,ATM_0006,40000,40
TX_000129,CMP_00129,MULE_ACC_6493,2026-09-01 00:51:15,ATM_0100,50000,55
TX_000130,CMP_00130,MULE_ACC_8685,2026-08-26 03:48:15,ATM_0020,20000,177
TX_000131,CMP_00131,MULE_ACC_9991,2026-07-20 05:31:15,ATM_0066,20000,155
TX_000132,CMP_00132,MULE_ACC_7878,2026-07-23 01:23:15,ATM_0100,25000,137
TX_000133,CMP_00133,MULE_ACC_4963,2026-08-06 22:17:15,ATM_0127,40000,94
TX_000134,CMP_00134,MULE_ACC_2402,2026-07-19 16:21:15,ATM_0107,25000,112
TX_000135,CMP_00135,MULE_ACC_7397,2026-08-05 13:09:15,ATM_0096,15000,31
TX_000136,CMP_00136,MULE_ACC_6649,2026-08-19 23:25:15,ATM_0117,15000,180
TX_000137,CMP_00137,MULE_ACC_6772,2026-08-21 07:57:15,ATM_0045,15000,106
TX_000138,CMP_00138,MULE_ACC_3986,2026-08-02 19:09:15,ATM_0118,20000,36
TX_000139,CMP_00139,MULE_ACC_1686,2026-07-22 03:44:15,ATM_0110,25000,99
TX_000140,CMP_00140,MULE_ACC_4131,2026-07-19 23:42:15,ATM_0013,50000,111
TX_000141,CMP_00141,MULE_ACC_8159,2026-07-25 06:22:15,ATM_0099,40000,132
TX_000142,CMP_00142,MULE_ACC_7018,2026-07-15 13:15:15,ATM_0109,20000,88
TX_000143,CMP_00143,MULE_ACC_9937,2026-07-31 17:37:15,ATM_0071,25000,102
TX_000144,CMP_00144,MULE_ACC_7981,2026-07-22 07:44:15,ATM_0008,50000,133
TX_000145,CMP_00145,MULE_ACC_5498,2026-08-28 08:21:15,ATM_0104,40000,39
TX_000146,CMP_00146,MULE_ACC_1510,2026-08-05 22:41:15,ATM_0113,20000,175
TX_000147,CMP_00147,MULE_ACC_7001,2026-07-12 00:16:15,ATM_0009,50000,118
TX_000148,CMP_00148,MULE_ACC_7095,2026-07-13 18:10:15,ATM_0107,40000,39
TX_000149,CMP_00149,MULE_ACC_5089,2026-07-29 07:10:15,ATM_0128,50000,26
TX_000150,CMP_00150,MULE_ACC_5264,2026-07-28 14:24:15,ATM_0074,50000,74
TX_000151,CMP_00151,MULE_ACC_3223,2026-08-31 13:30:15,ATM_0095,15000,135
TX_000152,CMP_00152,MULE_ACC_6692,2026-08-24 20:37:15,ATM_0066,20000,160
TX_000153,CMP_00153,MULE_ACC_3852,2026-08-18 21:32:15,ATM_0040,20000,150
TX_000154,CMP_00154,MULE_ACC_7044,2026-07-19 13:45:15,ATM_0020,20000,161
TX_000155,CMP_00155,MULE_ACC_8842,2026-07-23 10:53:15,ATM_0148,20000,125
TX_000156,CMP_00156,MULE_ACC_8372,2026-07-12 09:16:15,ATM_0110,15000,152
TX_000157,CMP_00157,MULE_ACC_8088,2026-08-10 02:26:15,ATM_0133,20000,34
TX_000158,CMP_00158,MULE_ACC_4694,2026-07-23 03:45:15,ATM_0021,40000,152
TX_000159,CMP_00159,MULE_ACC_3050,2026-07-16 19:35:15,ATM_0107,50000,177
TX_000160,CMP_00160,MULE_ACC_3804,2026-07-14 17:34:15,ATM_0117,20000,174
TX_000161,CMP_00161,MULE_ACC_5336,2026-08-24 22:54:15,ATM_0137,15000,166
TX_000162,CMP_00162,MULE_ACC_5949,2026-08-04 17:59:15,ATM_0104,40000,82
TX_000163,CMP_00163,MULE_ACC_3589,2026-08-02 00:53:15,ATM_0040,15000,126
TX_000164,CMP_00164,MULE_ACC_6231,2026-08-11 02:25:15,ATM_0080,50000,122
TX_000165,CMP_00165,MULE_ACC_8642,2026-08-08 00:51:15,ATM_0032,20000,88
TX_000166,CMP_00166,MULE_ACC_7850,2026-07-07 06:27:15,ATM_0148,50000,60
TX_000167,CMP_00167,MULE_ACC_9163,2026-07-24 05:10:15,ATM_0066,25000,139
TX_000168,CMP_00168,MULE_ACC_8491,2026-07-04 23:43:15,ATM_0008,20000,75
TX_000169,CMP_00169,MULE_ACC_8710,2026-07-22 14:18:15,ATM_0021,40000,157
TX_000170,CMP_00170,MULE_ACC_7606,2026-07-12 05:20:15,ATM_0117,50000,31
TX_000171,CMP_00171,MULE_ACC_2204,2026-07-16 10:07:15,ATM_0110,40000,149
TX_000172,CMP_00172,MULE_ACC_2946,2026-08-25 16:30:15,ATM_0071,50000,44
TX_000173,CMP_00173,MULE_ACC_9341,2026-07-27 02:43:15,ATM_0008,20000,148
TX_000174,CMP_00174,MULE_ACC_9508,2026-08-18 07:52:15,ATM_0132,20000,58
TX_000175,CMP_00175,MULE_ACC_7438,2026-07-24 16:59:15,ATM_0107,25000,96
TX_000176,CMP_00176,MULE_ACC_5911,2026-08-07 12:12:15,ATM_0142,20000,24
TX_000177,CMP_00177,MULE_ACC_1436,2026-07-30 16:43:15,ATM_0137,50000,141
TX_000178,CMP_00178,MULE_ACC_8871,2026-08-09 06:23:15,ATM_0098,15000,154
TX_000179,CMP_00179,MULE_ACC_2800,2026-08-25 17:42:15,ATM_0092,15000,24
TX_000180,CMP_00180,MULE_ACC_9221,2026-07-30 20:36:15,ATM_0016,50000,140
TX_000181,CMP_00181,MULE_ACC_6325,2026-07-12 14:50:15,ATM_0037,40000,154
TX_000182,CMP_00182,MULE_ACC_6804,2026-08-31 16:20:15,ATM_0043,40000,176
TX_000183,CMP_00183,MULE_ACC_5735,2026-08-08 07:42:15,ATM_0080,50000,145
TX_000184,CMP_00184,MULE_ACC_2996,2026-09-01 21:59:15,ATM_0085,40000,159
TX_000185,CMP_00185,MULE_ACC_5712,2026-08-22 02:09:15,ATM_0066,15000,108
TX_000186,CMP_00186,MULE_ACC_5442,2026-08-03 03:44:15,ATM_0127,50000,89
TX_000187,CMP_00187,MULE_ACC_9700,2026-08-10 04:37:15,ATM_0092,15000,79
TX_000188,CMP_00188,MULE_ACC_3252,2026-08-18 13:49:15,ATM_0041,40000,160
TX_000189,CMP_00189,MULE_ACC_4267,2026-08-14 13:15:15,ATM_0008,20000,102
TX_000190,CMP_00190,MULE_ACC_1611,2026-08-14 16:23:15,ATM_0046,20000,126
TX_000191,CMP_00191,MULE_ACC_4052,2026-08-26 09:22:15,ATM_0117,50000,29
TX_000192,CMP_00192,MULE_ACC_9901,2026-07-10 08:47:15,ATM_0035,50000,146
TX_000193,CMP_00193,MULE_ACC_6417,2026-08-02 06:32:15,ATM_0048,15000,137
TX_000194,CMP_00194,MULE_ACC_4164,2026-08-20 09:49:15,ATM_0104,40000,176
TX_000195,CMP_00195,MULE_ACC_2562,2026-08-05 07:03:15,ATM_0043,20000,55
TX_000196,CMP_00196,MULE_ACC_5374,2026-07-20 09:55:15,ATM_0117,20000,97
TX_000197,CMP_00197,MULE_ACC_4871,2026-07-20 17:16:15,ATM_0037,40000,50
TX_000198,CMP_00198,MULE_ACC_6095,2026-08-16 14:37:15,ATM_0043,20000,95
TX_000199,CMP_00199,MULE_ACC_7121,2026-07-12 13:52:15,ATM_0138,50000,160
TX_000200,CMP_00200,MULE_ACC_2341,2026-08-25 05:05:15,ATM_0080,20000,134
TX_000201,CMP_00201,MULE_ACC_9972,2026-08-31 15:21:15,ATM_0032,15000,71
TX_000202,CMP_00202,MULE_ACC_4365,2026-07-24 14:56:15,ATM_0107,15000,145
TX_000203,CMP_00203,MULE_ACC_9409,2026-08-23 23:48:15,ATM_0110,25000,136
TX_000204,CMP_00204,MULE_ACC_7487,2026-08-16 06:09:15,ATM_0149,15000,20
TX_000205,CMP_00205,MULE_ACC_2044,2026-07-06 10:00:15,ATM_0018,40000,35
TX_000206,CMP_00206,MULE_ACC_3218,2026-07-06 07:24:15,ATM_0098,25000,115
TX_000207,CMP_00207,MULE_ACC_9835,2026-08-28 10:16:15,ATM_0110,15000,109
TX_000208,CMP_00208,MULE_ACC_1056,2026-08-06 02:25:15,ATM_0110,25000,96
TX_000209,CMP_00209,MULE_ACC_5055,2026-08-07 10:43:15,ATM_0040,25000,108
TX_000210,CMP_00210,MULE_ACC_7868,2026-08-20 23:29:15,ATM_0020,20000,24
TX_000211,CMP_00211,MULE_ACC_1797,2026-08-10 22:02:15,ATM_0043,50000,31
TX_000212,CMP_00212,MULE_ACC_5739,2026-07-16 23:58:15,ATM_0127,50000,167
TX_000213,CMP_00213,MULE_ACC_3347,2026-08-25 07:34:15,ATM_0046,20000,76
TX_000214,CMP_00214,MULE_ACC_3869,2026-08-08 17:41:15,ATM_0080,50000,162
TX_000215,CMP_00215,MULE_ACC_6222,2026-08-15 10:57:15,ATM_0085,20000,124
TX_000216,CMP_00216,MULE_ACC_4692,2026-08-21 14:29:15,ATM_0015,25000,56
TX_000217,CMP_00217,MULE_ACC_3196,2026-07-30 11:00:15,ATM_0071,50000,82
TX_000218,CMP_00218,MULE_ACC_2514,2026-07-09 12:05:15,ATM_0085,50000,68
TX_000219,CMP_00219,MULE_ACC_4082,2026-08-11 17:48:15,ATM_0040,15000,163
TX_000220,CMP_00220,MULE_ACC_2922,2026-07-22 21:38:15,ATM_0053,25000,82
TX_000221,CMP_00221,MULE_ACC_5637,2026-08-31 05:57:15,ATM_0080,40000,139
TX_000222,CMP_00222,MULE_ACC_8635,2026-07-20 09:55:15,ATM_0082,20000,140
TX_000223,CMP_00223,MULE_ACC_4625,2026-07-27 06:53:15,ATM_0117,15000,24
TX_000224,CMP_00224,MULE_ACC_4214,2026-08-19 10:39:15,ATM_0043,25000,78
TX_000225,CMP_00225,MULE_ACC_5216,2026-08-08 19:11:15,ATM_0080,20000,145
TX_000226,CMP_00226,MULE_ACC_4015,2026-07-12 20:12:15,ATM_0020,50000,35
TX_000227,CMP_00227,MULE_ACC_4791,2026-07-06 21:27:15,ATM_0107,25000,58
TX_000228,CMP_00228,MULE_ACC_8916,2026-07-26 22:06:15,ATM_0110,40000,24
TX_000229,CMP_00229,MULE_ACC_5501,2026-07-03 22:09:15,ATM_0142,40000,93
TX_000230,CMP_00230,MULE_ACC_9591,2026-08-24 02:30:15,ATM_0107,15000,81
TX_000231,CMP_00231,MULE_ACC_2294,2026-08-25 09:23:15,ATM_0043,50000,123
TX_000232,CMP_00232,MULE_ACC_1519,2026-07-18 07:49:15,ATM_0110,15000,123
TX_000233,CMP_00233,MULE_ACC_3807,2026-07-07 18:30:15,ATM_0085,50000,147
TX_000234,CMP_00234,MULE_ACC_1697,2026-08-27 01:14:15,ATM_0146,40000,74
TX_000235,CMP_00235,MULE_ACC_5593,2026-07-21 00:46:15,ATM_0046,15000,164
TX_000236,CMP_00236,MULE_ACC_7525,2026-07-05 04:16:15,ATM_0043,25000,96
TX_000237,CMP_00237,MULE_ACC_6435,2026-08-26 09:41:15,ATM_0021,50000,55
TX_000238,CMP_00238,MULE_ACC_8161,2026-08-20 07:45:15,ATM_0127,15000,39
TX_000239,CMP_00239,MULE_ACC_5478,2026-07-29 08:29:15,ATM_0110,40000,145
TX_000240,CMP_00240,MULE_ACC_7227,2026-07-31 04:44:15,ATM_0043,50000,178
TX_000241,CMP_00241,MULE_ACC_7225,2026-07-08 00:19:15,ATM_0021,20000,119
TX_000242,CMP_00242,MULE_ACC_5419,2026-07-04 06:24:15,ATM_0092,40000,53
TX_000243,CMP_00243,MULE_ACC_2692,2026-08-08 14:17:15,ATM_0020,50000,42
TX_000244,CMP_00244,MULE_ACC_1202,2026-08-11 09:03:15,ATM_0020,50000,125
TX_000245,CMP_00245,MULE_ACC_9537,2026-08-30 15:57:15,ATM_0046,25000,117
TX_000246,CMP_00246,MULE_ACC_3739,2026-07-21 12:42:15,ATM_0100,15000,90
TX_000247,CMP_00247,MULE_ACC_9123,2026-07-27 07:15:15,ATM_0021,20000,177
TX_000248,CMP_00248,MULE_ACC_7224,2026-07-22 22:40:15,ATM_0137,50000,132
TX_000249,CMP_00249,MULE_ACC_4290,2026-07-12 07:03:15,ATM_0085,40000,100
TX_000250,CMP_00250,MULE_ACC_9044,2026-07-22 21:09:15,ATM_0046,40000,82
TX_000251,CMP_00251,MULE_ACC_4273,2026-07-27 02:41:15,ATM_0110,20000,159
TX_000252,CMP_00252,MULE_ACC_8183,2026-08-19 11:25:15,ATM_0105,25000,37
TX_000253,CMP_00253,MULE_ACC_4965,2026-08-04 01:42:15,ATM_0097,20000,59
TX_000254,CMP_00254,MULE_ACC_7566,2026-08-01 18:02:15,ATM_0108,50000,149
TX_000255,CMP_00255,MULE_ACC_2392,2026-07-06 09:10:15,ATM_0091,20000,83
TX_000256,CMP_00256,MULE_ACC_7547,2026-08-14 17:15:15,ATM_0021,40000,130
TX_000257,CMP_00257,MULE_ACC_4621,2026-07-18 14:45:15,ATM_0142,50000,115
TX_000258,CMP_00258,MULE_ACC_1402,2026-08-17 12:58:15,ATM_0020,20000,46
TX_000259,CMP_00259,MULE_ACC_6110,2026-08-26 21:28:15,ATM_0134,40000,136
TX_000260,CMP_00260,MULE_ACC_8412,2026-07-26 11:46:15,ATM_0021,20000,37
TX_000261,CMP_00261,MULE_ACC_3692,2026-08-27 09:16:15,ATM_0037,15000,152
TX_000262,CMP_00262,MULE_ACC_7636,2026-08-08 10:39:15,ATM_0111,25000,67
TX_000263,CMP_00263,MULE_ACC_8365,2026-07-05 21:51:15,ATM_0040,20000,129
TX_000264,CMP_00264,MULE_ACC_2667,2026-07-21 20:01:15,ATM_0040,15000,67
TX_000265,CMP_00265,MULE_ACC_9646,2026-07-11 07:37:15,ATM_0085,50000,172
TX_000266,CMP_00266,MULE_ACC_3826,2026-07-11 10:22:15,ATM_0142,20000,177
TX_000267,CMP_00267,MULE_ACC_2916,2026-07-24 01:13:15,ATM_0131,40000,115
TX_000268,CMP_00268,MULE_ACC_7286,2026-07-30 16:18:15,ATM_0110,50000,67
TX_000269,CMP_00269,MULE_ACC_3733,2026-08-31 18:35:15,ATM_0071,25000,93
TX_000270,CMP_00270,MULE_ACC_1157,2026-08-11 22:52:15,ATM_0085,50000,54
TX_000271,CMP_00271,MULE_ACC_9056,2026-08-05 18:47:15,ATM_0020,50000,133
TX_000272,CMP_00272,MULE_ACC_5503,2026-07-05 05:58:15,ATM_0095,15000,157
TX_000273,CMP_00273,MULE_ACC_2854,2026-08-20 12:27:15,ATM_0110,40000,49
TX_000274,CMP_00274,MULE_ACC_8231,2026-08-06 23:06:15,ATM_0027,50000,75
TX_000275,CMP_00275,MULE_ACC_5877,2026-08-26 19:06:15,ATM_0020,25000,135
TX_000276,CMP_00276,MULE_ACC_4438,2026-08-28 01:41:15,ATM_0110,20000,109
TX_000277,CMP_00277,MULE_ACC_4390,2026-08-12 03:38:15,ATM_0046,25000,165
TX_000278,CMP_00278,MULE_ACC_5794,2026-08-07 04:09:15,ATM_0107,50000,166
TX_000279,CMP_00279,MULE_ACC_1971,2026-08-25 00:03:15,ATM_0034,20000,52
TX_000280,CMP_00280,MULE_ACC_7434,2026-07-13 19:19:15,ATM_0046,25000,56
TX_000281,CMP_00281,MULE_ACC_2525,2026-07-30 11:02:15,ATM_0095,15000,151
TX_000282,CMP_00282,MULE_ACC_2526,2026-08-04 08:31:15,ATM_0137,15000,111
TX_000283,CMP_00283,MULE_ACC_9105,2026-07-17 11:37:15,ATM_0087,25000,102
