atm_id,bank_name,latitude,longitude,city_zone,is_high_risk_area
ATM_0064,ICICI Bank,18.996757,72.832396,Zone_West,0
ATM_0065,Axis Bank,19.083972,72.837422,Zone_Central,0
ATM_0066,State Bank of India,18.951947,72.883185,Zone_South,1
ATM_0067,Axis Bank,18.991016,72.915587,Zone_South,0
ATM_0068,State Bank of India,19.002446,73.001695,Zone_South,0
ATM_0069,Axis Bank,19.01334,72.851935,Zone_East,0
ATM_0070,Axis Bank,19.141081,72.779231,Zone_East,0
ATM_0071,Bank of Baroda,19.094197,72.982271,Zone_West,1
ATM_0072,HDFC Bank,18.947401,72.892471,Zone_North,0
ATM_0073,Bank of Baroda,19.096791,72.940246,Zone_North,0
ATM_0074,State Bank of India,18.977044,72.772063,Zone_North,0
ATM_0075,Bank of Baroda,19.117755,72.901459,Zone_Central,0
ATM_0076,HDFC Bank,19.096039,72.905416,Zone_North,0
ATM_0077,HDFC Bank,19.021598,72.89628,Zone_West,0
ATM_0078,Bank of Baroda,19.099446,72.820552,Zone_Central,0
ATM_0079,Axis Bank,19.225262,72.915607,Zone_Central,0
ATM_0080,ICICI Bank,18.980696,72.930224,Zone_East,1
ATM_0081,HDFC Bank,18.998025,72.940667,Zone_East,0
ATM_0082,ICICI Bank,19.168688,72.812045,Zone_West,0
ATM_0083,State Bank of India,19.15307,72.910722,Zone_North,0
ATM_0084,Bank of Baroda,19.141765,73.029443,Zone_North,0
ATM_0085,Bank of Baroda,19.056369,72.817401,Zone_East,1
ATM_0086,State Bank of India,19.004839,72.812435,Zone_South,0
ATM_0087,HDFC Bank,19.069832,72.904992,Zone_West,0
ATM_0088,ICICI Bank,19.098135,72.943875,Zone_Central,0
ATM_0089,Bank of Baroda,19.07704,72.993983,Zone_North,0
ATM_0090,Bank of Baroda,19.054827,73.095314,Zone_East,0
ATM_0091,State Bank of India,19.126053,72.809127,Zone_South,0
ATM_0092,State Bank of India,18.990329,72.916298,Zone_Central,1
ATM_0093,Bank of Baroda,19.058123,72.93482,Zone_South,0
ATM_0094,HDFC Bank,19.113859,72.871874,Zone_East,0
ATM_0095,ICICI Bank,19.008257,72.756512,Zone_North,1
ATM_0096,ICICI Bank,19.040279,72.946212,Zone_North,0
ATM_0097,ICICI Bank,19.093127,72.778041,Zone_South,0
ATM_0098,Bank of Baroda,19.089854,72.908525,Zone_West,0
ATM_0099,State Bank of India,19.005291,72.889998,Zone_North,0
ATM_0100,HDFC Bank,19.080657,72.786262,Zone_Central,1
ATM_0101,Bank of Baroda,19.104623,72.922563,Zone_Central,0
ATM_0102,State Bank of India,19.162644,72.962004,Zone_East,0
ATM_0103,State Bank of India,18.965786,72.802674,Zone_East,0
ATM_0104,State Bank of India,19.117203,72.918803,Zone_East,0
ATM_0105,Axis Bank,19.117204,73.185919,Zone_Central,0
ATM_0106,HDFC Bank,19.121671,72.968545,Zone_South,0
ATM_0107,HDFC Bank,19.15232,72.929811,Zone_West,1
ATM_0108,Axis Bank,19.050778,72.938418,Zone_South,0
ATM_0109,State Bank of India,19.014174,72.858755,Zone_West,0
ATM_0110,Axis Bank,19.037171,72.88425,Zone_South,1
ATM_0111,ICICI Bank,19.261173,72.728319,Zone_East,0
ATM_0112,HDFC Bank,19.130901,72.748683,Zone_South,0
ATM_0113,Axis Bank,19.038245,72.964816,Zone_East,0
ATM_0114,State Bank of India,19.081142,72.79148,Zone_East,0
ATM_0115,Bank of Baroda,19.018776,72.932068,Zone_West,0
ATM_0116,Bank of Baroda,19.017571,72.895017,Zone_East,0
ATM_0117,State Bank of India,19.079646,72.825572,Zone_East,1
ATM_0118,State Bank of India,19.247516,72.928414,Zone_North,0
ATM_0119,ICICI Bank,18.913989,72.892616,Zone_East,0
ATM_0120,Bank of Baroda,19.023057,72.945895,Zone_North,0
ATM_0121,Bank of Baroda,19.012598,72.868521,Zone_South,0
ATM_0122,Axis Bank,19.116399,72.94696,Zone_North,0
ATM_0123,Bank of Baroda,18.979976,72.85094,Zone_South,0
ATM_0124,State Bank of India,19.038004,72.825434,Zone_East,0
ATM_0125,State Bank of India,19.217236,72.910099,Zone_East,0
ATM_0126,Axis Bank,18.975129,72.951129,Zone_East,0
ATM_0127,ICICI Bank,19.245772,72.960297,Zone_Central,1
ATM_0128,Axis Bank,18.95445,72.838961,Zone_South,0
ATM_0129,ICICI Bank,19.177353,72.821086,Zone_West,0
ATM_0130,State Bank of India,19.111506,72.939671,Zone_East,0
ATM_0131,Axis Bank,19.001846,72.872938,Zone_Central,0
ATM_0132,ICICI Bank,18.816699,72.795749,Zone_West,0
ATM_0133,HDFC Bank,19.055795,72.777877,Zone_Central,0
ATM_0134,HDFC Bank,19.206593,72.763289,Zone_North,0
ATM_0135,Bank of Baroda,19.040796,72.888159,Zone_East,0
ATM_0136,ICICI Bank,19.191302,72.762831,Zone_South,0
ATM_0137,HDFC Bank,19.169053,72.878519,Zone_North,1
ATM_0138,Bank of Baroda,18.997479,72.914668,Zone_North,0
ATM_0139,Bank of Baroda,19.091925,72.829683,Zone_South,0
ATM_0140,Axis Bank,19.081584,72.846875,Zone_West,0
ATM_0141,HDFC Bank,19.085081,72.93067,Zone_North,0
ATM_0142,State Bank of India,19.202881,72.778675,Zone_West,1
ATM_0143,State Bank of India,19.246643,72.721533,Zone_Central,0
ATM_0144,Axis Bank,19.063857,72.924765,Zone_South,0
ATM_0145,Bank of Baroda,19.098479,72.827884,Zone_Central,0
ATM_0146,Axis Bank,19.05935,72.83826,Zone_Central,0
ATM_0147,Bank of Baroda,19.028851,72.945668,Zone_West,0
ATM_0148,Bank of Baroda,19.104561,72.822267,Zone_West,0
ATM_0149,Axis Bank,19.147968,72.902284,Zone_West,0
ATM_0150,HDFC Bank,19.141029,72.92807,Zone_East,0
